session_id,customer_id,total,created_at,modified_at
32,649,10879.46,2022-09-17 02:08:52,2022-09-17 04:04:52
33,298,234.64,2022-05-15 06:55:31,2022-05-15 07:02:31
34,103,570.7,2022-01-05 10:02:48,2022-01-05 11:43:48
35,273,1217.77,2022-09-25 01:51:04,2022-09-25 02:07:04
36,639,5104.71,2023-11-05 12:04:30,2023-11-05 12:49:30
37,316,8041.39,2023-03-09 13:02:56,2023-03-09 14:23:56
38,471,4445.83,2023-05-01 04:14:30,2023-05-01 05:56:30
39,364,930.42,2023-03-22 12:35:21,2023-03-22 13:26:21
40,245,2618.33,2023-06-02 06:14:11,2023-06-02 06:48:11
41,904,56579.72,2023-02-01 15:10:39,2023-02-01 16:40:39
42,565,1189.33,2022-02-17 21:51:59,2022-02-17 22:57:59
43,208,3133.28,2023-06-20 08:53:08,2023-06-20 10:44:08
44,639,4481.3,2023-06-07 07:04:30,2023-06-07 07:16:30
45,65,35271.38,2022-06-20 03:52:34,2022-06-20 04:36:34
46,128,1328.46,2023-10-30 09:22:00,2023-10-30 09:43:00
47,638,14996.44,2022-05-10 20:25:04,2022-05-10 21:57:04
48,408,9196.97,2022-04-02 16:49:05,2022-04-02 17:19:05
49,784,7888.21,2023-06-22 07:55:49,2023-06-22 09:27:49
50,162,9844.56,2022-03-07 19:49:55,2022-03-07 21:35:55
51,626,13649.93,2022-04-23 16:37:32,2022-04-23 17:49:32
52,725,7217.31,2022-01-15 20:59:31,2022-01-15 22:17:31
53,360,311.26,2022-03-24 15:50:40,2022-03-24 17:03:40
54,765,9942.7,2022-12-07 06:44:20,2022-12-07 07:25:20
55,886,6981.41,2022-08-15 23:32:05,2022-08-16 00:55:05
56,2,21190.18,2022-03-30 13:07:54,2022-03-30 14:45:54
57,556,2411.2,2023-06-09 10:56:16,2023-06-09 12:00:16
58,86,19038.63,2023-04-21 17:34:22,2023-04-21 19:06:22
59,604,1610.14,2022-06-08 00:49:32,2022-06-08 01:46:32
60,219,606.14,2022-08-30 10:56:03,2022-08-30 12:27:03
61,877,2654.91,2023-10-18 13:24:12,2023-10-18 15:21:12
62,241,10566.25,2023-03-31 17:53:51,2023-03-31 19:19:51
63,232,1336.61,2023-03-14 01:23:52,2023-03-14 01:50:52
64,595,10598.39,2022-03-21 19:36:47,2022-03-21 20:02:47
65,726,2124.79,2022-07-07 02:17:19,2022-07-07 04:06:19
66,482,708.9,2022-08-31 12:03:35,2022-08-31 13:05:35
67,800,2547.66,2022-08-07 20:58:58,2022-08-07 21:29:58
68,343,1562.51,2023-12-31 18:39:52,2023-12-31 19:21:52
69,856,17463.0,2022-02-08 21:58:11,2022-02-08 23:32:11
70,386,5783.01,2022-02-06 21:05:40,2022-02-06 21:55:40
71,677,34799.39,2023-01-31 08:34:18,2023-01-31 08:56:18
72,573,16276.48,2023-09-19 11:01:33,2023-09-19 12:46:33
73,304,36851.28,2023-01-27 06:56:00,2023-01-27 08:22:00
74,147,6450.32,2022-02-05 13:09:44,2022-02-05 13:47:44
75,290,13262.05,2022-02-10 06:05:56,2022-02-10 06:20:56
76,549,13106.93,2023-03-20 07:21:58,2023-03-20 09:00:58
77,723,2966.27,2022-07-18 03:38:36,2022-07-18 05:05:36
78,478,3992.44,2022-01-04 08:39:44,2022-01-04 10:06:44
79,281,5276.42,2022-07-31 08:51:04,2022-07-31 09:51:04
80,586,9774.73,2023-06-19 19:09:30,2023-06-19 19:37:30
81,851,1541.73,2022-06-03 05:21:17,2022-06-03 06:21:17
82,256,877.28,2023-01-22 09:16:41,2023-01-22 09:22:41
83,356,3035.43,2023-10-16 04:47:09,2023-10-16 05:30:09
84,728,4715.72,2022-05-21 21:32:46,2022-05-21 23:00:46
85,212,7059.39,2022-10-20 00:18:18,2022-10-20 00:57:18
86,790,7483.41,2022-09-07 15:29:22,2022-09-07 16:53:22
87,236,13325.94,2023-01-15 13:47:30,2023-01-15 14:08:30
88,598,386.72,2022-06-19 17:20:30,2022-06-19 17:41:30
89,527,15767.23,2023-01-29 02:02:01,2023-01-29 03:15:01
90,727,26351.28,2023-07-31 12:35:27,2023-07-31 13:01:27
91,75,13923.15,2022-10-15 17:57:59,2022-10-15 19:57:59
92,245,5887.89,2023-12-07 09:42:51,2023-12-07 11:15:51
93,190,10416.61,2023-07-17 07:44:02,2023-07-17 09:08:02
94,461,48140.78,2023-09-06 16:20:25,2023-09-06 16:33:25
95,671,5369.58,2023-10-21 15:11:58,2023-10-21 17:08:58
96,960,10194.07,2022-12-26 19:25:34,2022-12-26 20:29:34
97,683,12831.42,2023-06-25 11:01:19,2023-06-25 12:42:19
98,498,2174.25,2022-10-02 20:28:26,2022-10-02 20:34:26
99,4,19570.01,2022-02-09 00:23:06,2022-02-09 02:20:06
100,98,4620.12,2022-01-13 02:29:25,2022-01-13 04:24:25
101,402,19604.43,2022-10-18 09:00:19,2022-10-18 10:51:19
102,298,14802.2,2023-06-08 04:50:47,2023-06-08 06:27:47
103,729,549.33,2022-01-17 06:13:52,2022-01-17 06:56:52
104,602,18110.52,2023-07-05 21:17:25,2023-07-05 22:58:25
105,215,3710.28,2022-01-02 05:23:58,2022-01-02 05:53:58
106,2,957.09,2023-05-22 05:57:05,2023-05-22 07:16:05
107,397,18.63,2022-02-05 03:00:14,2022-02-05 03:48:14
108,656,19542.56,2022-01-04 11:10:46,2022-01-04 12:19:46
109,606,6652.65,2023-01-15 23:55:34,2023-01-16 01:39:34
110,733,3137.49,2023-10-17 02:36:24,2023-10-17 04:25:24
111,259,371.11,2022-10-08 13:08:27,2022-10-08 13:33:27
112,899,1446.1,2022-10-22 17:49:49,2022-10-22 17:54:49
113,756,13404.9,2022-01-15 02:07:48,2022-01-15 02:45:48
114,191,6824.17,2022-07-18 02:00:07,2022-07-18 03:01:07
115,468,879.9,2022-07-17 05:32:18,2022-07-17 06:18:18
116,890,9162.31,2023-06-27 02:09:14,2023-06-27 02:51:14
117,8,482.67,2022-07-09 06:12:09,2022-07-09 08:00:09
118,950,8082.87,2022-06-22 05:09:31,2022-06-22 05:19:31
119,949,8320.41,2022-10-31 06:46:23,2022-10-31 07:54:23
120,948,16852.6,2023-11-02 07:22:34,2023-11-02 08:32:34
121,921,7884.15,2022-04-21 23:24:34,2022-04-22 01:06:34
122,869,13329.85,2023-11-02 01:48:55,2023-11-02 02:01:55
123,833,1628.86,2023-02-26 01:40:08,2023-02-26 03:19:08
124,363,8924.6,2023-11-04 06:55:46,2023-11-04 08:19:46
125,796,251.16,2022-08-06 23:08:06,2022-08-07 01:06:06
126,784,7414.34,2023-11-28 07:47:27,2023-11-28 08:47:27
127,404,32690.86,2022-01-22 21:12:09,2022-01-22 22:02:09
128,645,16450.52,2022-07-24 01:29:24,2022-07-24 02:50:24
129,499,5952.14,2022-04-28 15:32:22,2022-04-28 15:58:22
130,147,3001.19,2022-04-30 11:14:44,2022-04-30 13:01:44
131,721,9498.64,2022-01-08 04:43:40,2022-01-08 06:43:40
132,234,2952.67,2023-02-28 05:44:16,2023-02-28 06:55:16
133,923,8466.11,2022-10-21 05:08:59,2022-10-21 06:26:59
134,781,35084.3,2023-07-14 20:55:26,2023-07-14 22:48:26
135,337,3660.26,2022-08-17 00:46:45,2022-08-17 02:20:45
136,896,1807.15,2023-01-09 07:27:17,2023-01-09 08:21:17
137,42,18413.62,2022-05-09 19:13:10,2022-05-09 19:36:10
138,594,25861.05,2022-05-21 00:25:31,2022-05-21 01:16:31
139,464,7135.69,2022-07-06 01:45:08,2022-07-06 01:51:08
140,655,8413.43,2023-02-06 07:55:37,2023-02-06 08:42:37
141,889,16890.43,2023-01-17 18:27:39,2023-01-17 20:18:39
142,819,5922.63,2023-10-01 06:53:36,2023-10-01 08:12:36
143,300,3961.35,2023-06-22 00:35:30,2023-06-22 01:43:30
144,325,1085.75,2023-11-25 01:09:11,2023-11-25 01:34:11
145,235,9891.17,2023-02-07 06:49:11,2023-02-07 07:06:11
146,282,5330.1,2022-09-04 11:52:59,2022-09-04 12:09:59
147,350,8056.99,2023-06-25 00:15:45,2023-06-25 01:20:45
148,945,5371.81,2022-01-17 10:32:50,2022-01-17 11:17:50
149,804,4644.12,2022-11-20 06:34:52,2022-11-20 08:33:52
150,398,4987.06,2023-02-16 11:32:37,2023-02-16 12:03:37
151,978,1480.67,2022-11-15 02:10:52,2022-11-15 02:32:52
152,841,5216.83,2023-08-12 05:51:57,2023-08-12 07:28:57
153,60,48554.96,2022-09-20 04:18:52,2022-09-20 05:07:52
154,984,11691.16,2023-11-28 23:11:32,2023-11-29 00:19:32
155,544,2685.49,2022-12-20 19:10:07,2022-12-20 20:38:07
156,720,4426.29,2023-05-19 20:22:14,2023-05-19 22:17:14
157,152,3559.46,2023-08-21 08:30:36,2023-08-21 10:26:36
158,33,827.24,2023-07-21 20:05:55,2023-07-21 21:52:55
159,895,54950.64,2023-01-01 11:12:11,2023-01-01 12:09:11
160,760,15338.28,2022-01-12 03:48:08,2022-01-12 04:04:08
161,260,3637.37,2023-09-10 06:53:56,2023-09-10 07:09:56
162,413,2901.61,2022-01-17 21:54:19,2022-01-17 23:32:19
163,611,23885.36,2023-09-01 22:33:30,2023-09-01 23:46:30
164,829,16406.74,2023-06-07 17:58:24,2023-06-07 19:37:24
165,143,768.96,2022-09-10 12:15:10,2022-09-10 13:33:10
166,50,4237.8,2023-09-02 23:45:56,2023-09-03 00:44:56
167,501,810.24,2022-11-28 15:00:57,2022-11-28 15:28:57
168,420,21729.14,2023-05-02 16:26:19,2023-05-02 18:05:19
169,970,4039.36,2023-04-30 05:59:36,2023-04-30 07:50:36
170,801,6718.4,2022-10-24 20:04:49,2022-10-24 21:54:49
171,970,8406.27,2023-04-05 02:21:06,2023-04-05 02:54:06
172,119,74.54,2023-11-07 18:34:34,2023-11-07 19:39:34
173,430,22955.33,2022-01-21 15:54:00,2022-01-21 17:27:00
174,455,3733.81,2023-06-15 04:49:48,2023-06-15 05:52:48
175,603,770.22,2023-03-23 00:59:45,2023-03-23 02:27:45
176,631,3459.9,2023-04-14 05:44:08,2023-04-14 06:38:08
177,253,420.42,2023-05-28 13:07:43,2023-05-28 13:21:43
178,81,2786.14,2022-07-16 00:51:27,2022-07-16 01:46:27
179,417,7363.21,2023-06-16 23:55:21,2023-06-17 00:48:21
180,941,895.23,2023-04-04 12:54:00,2023-04-04 13:36:00
181,710,577.55,2023-05-26 11:59:08,2023-05-26 13:19:08
182,169,181.64,2022-06-01 18:48:53,2022-06-01 19:05:53
183,551,2157.44,2022-01-31 04:10:40,2022-01-31 05:47:40
184,412,197.46,2022-03-22 23:28:50,2022-03-22 23:47:50
185,856,10664.42,2023-12-24 05:57:38,2023-12-24 07:32:38
186,435,803.48,2022-01-03 02:28:51,2022-01-03 03:59:51
187,965,6349.92,2022-09-29 12:39:33,2022-09-29 14:26:33
188,237,64.57,2023-08-16 17:22:08,2023-08-16 18:16:08
189,460,955.94,2022-04-05 00:44:08,2022-04-05 01:12:08
190,761,4034.7,2023-12-12 20:19:21,2023-12-12 21:55:21
191,520,40552.92,2023-10-15 19:27:39,2023-10-15 20:54:39
192,970,11562.8,2022-08-04 02:05:38,2022-08-04 03:48:38
193,912,58761.2,2022-07-16 00:55:40,2022-07-16 01:06:40
194,948,58405.37,2023-11-29 10:28:24,2023-11-29 11:12:24
195,342,1149.18,2022-07-29 07:24:54,2022-07-29 09:10:54
196,690,1547.52,2022-08-19 10:35:12,2022-08-19 11:31:12
197,921,1392.62,2023-08-06 18:54:49,2023-08-06 20:41:49
198,12,449.62,2023-11-07 22:40:49,2023-11-07 23:41:49
199,622,22845.87,2023-05-06 08:21:49,2023-05-06 10:11:49
200,220,4224.12,2022-06-06 11:18:20,2022-06-06 11:24:20
201,294,737.25,2022-01-04 21:02:51,2022-01-04 22:47:51
202,42,7717.43,2022-11-08 16:11:00,2022-11-08 16:37:00
203,171,13462.12,2022-12-13 10:42:24,2022-12-13 10:59:24
204,804,1923.21,2022-04-08 12:16:58,2022-04-08 13:51:58
205,647,282.54,2023-02-08 07:58:03,2023-02-08 09:45:03
206,714,3823.17,2023-11-10 03:28:08,2023-11-10 04:10:08
207,399,1722.69,2023-04-20 11:21:21,2023-04-20 12:06:21
208,668,1027.67,2022-01-12 14:49:05,2022-01-12 16:18:05
209,295,923.43,2023-05-14 03:29:09,2023-05-14 04:32:09
210,360,1291.72,2022-12-27 00:40:01,2022-12-27 01:37:01
211,55,2648.01,2023-11-29 09:04:25,2023-11-29 09:57:25
212,306,1940.12,2023-06-04 10:30:42,2023-06-04 10:43:42
213,918,2422.69,2023-02-19 01:19:22,2023-02-19 02:04:22
214,27,22334.26,2022-09-09 14:09:50,2022-09-09 14:58:50
215,132,9436.62,2023-03-18 05:31:09,2023-03-18 06:57:09
216,961,8545.33,2022-07-15 22:11:22,2022-07-15 23:45:22
217,676,8651.91,2023-03-16 20:56:21,2023-03-16 21:51:21
218,128,36307.95,2023-06-01 05:51:55,2023-06-01 07:09:55
219,42,13449.04,2022-08-15 11:01:34,2022-08-15 12:41:34
220,627,6071.86,2023-04-28 20:39:42,2023-04-28 20:48:42
221,734,671.98,2022-02-23 11:49:40,2022-02-23 12:14:40
222,611,1349.66,2022-02-25 15:51:03,2022-02-25 17:31:03
223,298,651.63,2023-12-18 04:06:55,2023-12-18 05:15:55
224,313,8677.06,2023-02-26 12:47:08,2023-02-26 13:28:08
225,324,17565.33,2022-07-09 08:31:31,2022-07-09 08:45:31
226,349,3728.53,2023-01-06 17:44:53,2023-01-06 19:43:53
227,773,3803.29,2023-09-05 14:23:41,2023-09-05 15:12:41
228,173,6281.97,2022-08-02 08:52:20,2022-08-02 09:26:20
229,421,22271.62,2022-01-13 02:28:20,2022-01-13 02:52:20
230,711,1321.69,2022-11-13 20:30:46,2022-11-13 21:26:46
231,890,13652.04,2022-03-09 14:21:17,2022-03-09 14:37:17
232,855,9391.34,2023-12-04 23:47:30,2023-12-05 00:04:30
233,657,458.27,2023-09-29 02:42:21,2023-09-29 04:35:21
234,580,3367.06,2022-02-24 01:49:10,2022-02-24 03:44:10
235,763,6522.65,2022-04-04 19:12:34,2022-04-04 19:41:34
236,921,2140.14,2022-12-29 21:07:48,2022-12-29 23:05:48
237,478,48198.82,2023-11-17 23:42:31,2023-11-18 00:45:31
238,790,18566.98,2022-11-23 23:28:21,2022-11-23 23:49:21
239,869,516.73,2023-08-10 16:03:40,2023-08-10 16:23:40
240,832,21274.45,2023-06-20 09:22:46,2023-06-20 10:02:46
241,907,2579.34,2023-05-10 12:22:37,2023-05-10 13:18:37
242,763,22832.54,2022-12-25 04:13:32,2022-12-25 04:37:32
243,105,1775.45,2023-11-30 19:13:56,2023-11-30 19:58:56
244,738,3195.41,2023-09-14 14:46:53,2023-09-14 16:37:53
245,15,772.64,2022-01-13 23:20:10,2022-01-14 00:39:10
246,528,9648.76,2023-01-22 15:57:15,2023-01-22 17:37:15
247,456,19567.24,2022-03-05 00:10:08,2022-03-05 01:32:08
248,661,622.07,2022-12-04 12:46:53,2022-12-04 13:22:53
249,389,1909.33,2022-12-01 00:29:51,2022-12-01 02:03:51
250,918,7812.43,2022-10-22 01:22:00,2022-10-22 02:27:00
251,9,941.54,2023-06-09 17:11:51,2023-06-09 19:09:51
252,282,1721.31,2023-03-31 00:04:49,2023-03-31 01:21:49
253,37,22042.52,2023-05-18 16:29:16,2023-05-18 16:50:16
254,938,7657.79,2022-10-21 14:10:01,2022-10-21 15:18:01
255,419,1528.98,2023-06-07 09:14:26,2023-06-07 09:54:26
256,979,13180.58,2023-07-13 01:50:56,2023-07-13 02:07:56
257,393,1279.31,2022-04-23 16:55:05,2022-04-23 17:00:05
258,259,3684.64,2023-09-03 19:48:32,2023-09-03 21:38:32
259,379,900.66,2023-12-09 21:32:05,2023-12-09 23:12:05
260,579,1335.28,2023-11-23 11:15:49,2023-11-23 11:40:49
261,353,14121.24,2023-08-13 18:40:08,2023-08-13 18:56:08
262,521,26959.87,2022-10-27 23:21:56,2022-10-28 01:18:56
263,3,372.75,2022-09-03 00:28:33,2022-09-03 01:50:33
264,927,2136.8,2023-02-16 06:07:55,2023-02-16 06:26:55
265,245,1819.29,2022-05-27 04:06:10,2022-05-27 05:11:10
266,131,4731.16,2023-08-07 12:57:28,2023-08-07 14:53:28
267,277,1053.52,2023-04-04 10:16:55,2023-04-04 12:08:55
268,373,3363.91,2023-06-27 21:22:44,2023-06-27 21:57:44
269,948,12357.95,2023-05-26 00:06:50,2023-05-26 00:13:50
270,162,6875.85,2022-04-25 00:08:57,2022-04-25 00:30:57
271,819,9337.82,2023-09-20 23:33:35,2023-09-21 00:17:35
272,201,985.58,2022-12-31 06:43:34,2022-12-31 08:01:34
273,645,3036.77,2022-05-01 16:19:05,2022-05-01 17:31:05
274,395,986.29,2023-02-09 06:19:43,2023-02-09 07:26:43
275,2,6630.84,2023-05-27 16:37:58,2023-05-27 17:57:58
276,854,6459.35,2022-12-27 07:10:53,2022-12-27 07:52:53
277,175,14308.87,2023-01-08 21:09:40,2023-01-08 22:37:40
278,581,4987.05,2023-10-20 02:04:36,2023-10-20 04:04:36
279,813,15504.74,2023-01-01 15:52:50,2023-01-01 15:58:50
280,159,14126.81,2023-06-26 00:31:34,2023-06-26 02:06:34
281,701,23500.26,2022-11-19 03:34:32,2022-11-19 05:18:32
282,630,5834.8,2022-05-09 01:14:51,2022-05-09 01:23:51
283,358,24946.58,2022-11-01 07:15:45,2022-11-01 08:13:45
284,553,667.07,2023-01-11 21:31:58,2023-01-11 22:27:58
285,106,305.13,2022-05-01 04:19:36,2022-05-01 05:17:36
286,359,6269.09,2023-12-17 22:31:46,2023-12-18 00:06:46
287,397,3538.76,2022-02-07 13:23:09,2022-02-07 14:36:09
288,66,12574.45,2023-12-24 15:15:51,2023-12-24 17:11:51
289,813,2090.43,2023-07-27 18:02:47,2023-07-27 19:49:47
290,321,34011.94,2023-12-21 20:52:20,2023-12-21 21:53:20
291,39,3586.32,2022-09-12 00:21:30,2022-09-12 00:54:30
292,97,556.31,2023-08-28 05:31:09,2023-08-28 06:56:09
293,343,11719.33,2023-01-20 11:31:34,2023-01-20 12:51:34
294,536,13302.85,2022-05-29 12:51:05,2022-05-29 13:43:05
295,110,6406.9,2022-08-17 14:46:57,2022-08-17 16:19:57
296,55,391.72,2022-03-26 17:56:06,2022-03-26 18:02:06
297,486,18896.97,2022-05-08 10:48:01,2022-05-08 11:52:01
298,552,19770.13,2022-02-02 03:44:04,2022-02-02 04:16:04
299,202,71959.27,2022-05-23 04:40:38,2022-05-23 04:50:38
300,80,7322.98,2022-02-19 21:26:55,2022-02-19 23:02:55
301,928,10480.4,2023-05-31 02:23:27,2023-05-31 04:14:27
302,958,4845.15,2022-05-19 04:16:36,2022-05-19 05:50:36
303,429,8397.85,2023-10-22 14:57:55,2023-10-22 15:11:55
304,504,32165.31,2022-10-25 11:12:07,2022-10-25 12:06:07
305,533,3521.77,2022-10-15 19:54:33,2022-10-15 20:13:33
306,432,4624.25,2022-08-15 16:00:40,2022-08-15 16:54:40
307,810,11425.65,2022-09-18 12:44:52,2022-09-18 13:37:52
308,475,7794.73,2022-04-05 00:07:18,2022-04-05 01:32:18
309,76,6554.88,2022-04-08 13:30:21,2022-04-08 14:45:21
310,914,367.63,2022-05-22 02:01:02,2022-05-22 03:00:02
311,978,7397.81,2022-09-13 16:21:49,2022-09-13 16:32:49
312,564,383.68,2023-05-01 09:26:07,2023-05-01 10:14:07
313,110,5626.08,2022-11-20 00:04:57,2022-11-20 00:21:57
314,550,6391.78,2023-07-24 03:41:46,2023-07-24 04:04:46
315,509,892.36,2022-11-22 16:00:38,2022-11-22 17:54:38
316,712,5352.35,2022-03-04 10:29:51,2022-03-04 11:06:51
317,316,24524.51,2023-02-20 06:59:58,2023-02-20 08:55:58
318,550,6574.9,2023-06-08 06:01:32,2023-06-08 07:22:32
319,721,10922.09,2023-08-28 14:51:21,2023-08-28 15:46:21
320,847,1086.25,2023-10-27 18:54:18,2023-10-27 20:51:18
321,887,584.92,2023-06-24 18:50:04,2023-06-24 19:13:04
322,736,25138.82,2023-08-01 06:46:36,2023-08-01 08:27:36
323,742,604.28,2023-04-03 04:24:34,2023-04-03 05:46:34
324,121,6375.49,2022-06-08 16:20:30,2022-06-08 18:13:30
325,435,36546.26,2023-09-21 05:01:32,2023-09-21 05:19:32
326,329,11756.75,2023-06-02 16:12:31,2023-06-02 16:51:31
327,652,27.39,2023-11-25 02:11:15,2023-11-25 03:33:15
328,358,30603.03,2022-08-11 11:39:37,2022-08-11 12:02:37
329,813,13837.85,2023-10-27 22:55:35,2023-10-28 00:27:35
330,52,155.28,2023-08-07 22:21:12,2023-08-07 23:13:12
331,186,12133.53,2022-08-24 11:24:31,2022-08-24 12:20:31
332,277,3828.21,2022-07-23 12:19:54,2022-07-23 13:52:54
333,366,4329.36,2022-04-19 09:23:04,2022-04-19 11:07:04
334,347,4237.63,2023-04-07 14:21:37,2023-04-07 15:52:37
335,171,2464.43,2022-06-30 21:20:50,2022-06-30 21:49:50
336,205,6690.78,2023-02-03 07:18:36,2023-02-03 07:26:36
337,251,1648.08,2023-07-24 16:55:44,2023-07-24 17:49:44
338,309,11390.9,2022-06-11 13:02:12,2022-06-11 14:38:12
339,337,14121.44,2023-11-19 12:18:11,2023-11-19 13:11:11
340,120,21749.25,2023-10-09 18:31:05,2023-10-09 19:05:05
341,876,11305.43,2022-06-27 18:41:29,2022-06-27 18:58:29
342,616,2656.5,2023-01-11 11:11:44,2023-01-11 12:47:44
343,423,3303.98,2022-05-17 12:56:07,2022-05-17 14:11:07
344,838,21007.27,2023-05-27 17:12:08,2023-05-27 17:24:08
345,540,917.54,2023-10-10 23:11:37,2023-10-11 00:34:37
346,24,1045.36,2022-02-27 02:00:34,2022-02-27 02:25:34
347,129,4861.4,2023-06-22 07:19:49,2023-06-22 07:58:49
348,266,955.6,2022-10-21 18:35:41,2022-10-21 20:11:41
349,921,10052.07,2023-05-08 22:12:28,2023-05-08 22:23:28
350,330,60068.44,2023-10-21 11:35:07,2023-10-21 12:51:07
351,259,5593.04,2022-04-13 03:24:55,2022-04-13 05:07:55
352,835,1609.4,2022-05-25 16:01:02,2022-05-25 16:47:02
353,451,5208.92,2023-04-04 18:25:13,2023-04-04 19:32:13
354,892,40554.13,2023-11-21 23:22:20,2023-11-22 01:08:20
355,236,4012.54,2022-06-25 19:42:58,2022-06-25 20:10:58
356,630,10737.29,2022-09-26 01:23:15,2022-09-26 02:18:15
357,995,1656.33,2023-02-13 09:57:57,2023-02-13 10:06:57
358,968,6016.35,2023-08-09 14:30:29,2023-08-09 14:43:29
359,293,3598.68,2022-12-17 11:20:50,2022-12-17 12:47:50
360,243,11312.44,2022-09-23 22:54:34,2022-09-24 00:32:34
361,949,10910.68,2023-11-05 23:06:52,2023-11-05 23:48:52
362,6,2387.2,2023-08-11 11:41:02,2023-08-11 12:41:02
363,159,15742.05,2023-10-16 21:07:42,2023-10-16 21:41:42
364,620,5579.51,2023-06-28 12:50:12,2023-06-28 12:57:12
365,979,818.35,2022-04-09 23:29:55,2022-04-09 23:57:55
366,135,429.92,2022-01-11 17:50:17,2022-01-11 18:08:17
367,469,39803.9,2023-07-30 11:48:11,2023-07-30 12:24:11
368,535,4807.76,2023-07-02 02:28:50,2023-07-02 03:14:50
369,991,51025.18,2022-03-25 06:27:20,2022-03-25 08:21:20
370,356,28766.78,2023-07-14 07:33:05,2023-07-14 08:05:05
371,760,9442.02,2023-08-17 16:20:11,2023-08-17 16:33:11
372,340,9880.72,2022-11-08 03:51:36,2022-11-08 05:34:36
373,505,1980.61,2022-02-02 14:10:42,2022-02-02 14:48:42
374,369,5084.15,2022-11-21 16:25:43,2022-11-21 17:41:43
375,111,14637.24,2023-03-10 11:53:17,2023-03-10 13:49:17
376,324,16557.55,2023-02-10 01:40:43,2023-02-10 02:54:43
377,757,476.37,2023-01-11 06:04:37,2023-01-11 06:46:37
378,861,4810.63,2023-01-27 21:27:17,2023-01-27 23:05:17
379,767,47304.03,2022-12-15 12:56:27,2022-12-15 14:44:27
380,634,758.16,2022-03-18 06:52:04,2022-03-18 07:25:04
381,622,2902.06,2023-07-25 22:42:40,2023-07-26 00:24:40
382,914,2841.79,2023-10-02 14:17:52,2023-10-02 14:27:52
383,560,27973.1,2022-02-02 11:07:00,2022-02-02 12:00:00
384,646,14198.93,2022-11-23 13:21:10,2022-11-23 14:02:10
385,499,21046.35,2022-06-01 00:34:59,2022-06-01 01:43:59
386,741,4309.31,2022-12-24 18:05:17,2022-12-24 19:32:17
387,484,5881.56,2022-03-17 06:08:23,2022-03-17 07:29:23
388,923,1654.86,2022-05-02 02:37:52,2022-05-02 03:27:52
389,997,6984.74,2022-08-06 23:22:08,2022-08-06 23:27:08
390,714,20051.49,2023-07-03 18:38:52,2023-07-03 20:32:52
391,270,7694.47,2022-01-07 14:12:18,2022-01-07 14:48:18
392,352,144.92,2022-03-18 03:02:25,2022-03-18 03:39:25
393,721,6588.42,2022-03-27 06:24:52,2022-03-27 06:59:52
394,37,18347.38,2022-04-19 10:06:44,2022-04-19 11:55:44
395,208,2342.34,2022-07-11 22:14:09,2022-07-11 22:24:09
396,672,220.83,2022-01-21 05:38:18,2022-01-21 07:19:18
397,723,1287.72,2022-04-05 15:07:16,2022-04-05 16:40:16
398,76,8033.48,2023-02-10 20:31:12,2023-02-10 20:38:12
399,104,25626.42,2022-12-12 11:40:43,2022-12-12 12:35:43
400,203,6595.01,2022-05-30 03:34:38,2022-05-30 05:31:38
