payment_id,order_id,amount,tax,provider,status,created_at,modified_at
51,51,21547.3,3878.51,MASTERCARD,Pending,2022-03-15 04:54:08,2022-03-15 20:24:08
52,52,36127.13,6502.88,MASTERCARD,Failed,2022-05-17 07:22:04,2022-05-17 22:48:04
53,53,40678.31,7322.1,TROY,Failed,2023-12-11 00:11:59,2023-12-11 21:49:59
54,54,41553.31,7479.6,VISA,Failed,2022-09-01 20:28:17,2022-09-02 07:17:17
55,55,38264.43,6887.6,TROY,Failed,2022-05-14 08:16:47,2022-05-14 20:42:47
56,56,13871.34,2496.84,MASTERCARD,Success,2023-01-12 16:21:13,2023-01-13 15:39:13
57,57,34441.14,6199.41,MASTERCARD,Pending,2022-08-10 03:51:29,2022-08-10 16:04:29
58,58,22884.88,4119.28,VISA,Pending,2023-10-27 15:27:06,2023-10-27 16:27:06
59,59,7168.05,1290.25,VISA,Failed,2022-01-02 14:02:10,2022-01-03 07:31:10
60,60,46141.48,8305.47,VISA,Success,2022-08-05 11:17:37,2022-08-06 07:23:37
61,61,32993.2,5938.78,MASTERCARD,Failed,2023-02-21 10:23:00,2023-02-22 00:03:00
62,62,36204.99,6516.9,TROY,Success,2022-01-10 14:57:30,2022-01-11 11:53:30
63,63,34596.33,6227.34,TROY,Pending,2022-02-27 10:19:43,2022-02-27 17:55:43
64,64,19927.89,3587.02,VISA,Success,2023-04-20 01:47:01,2023-04-20 06:42:01
65,65,39993.42,7198.82,MASTERCARD,Success,2022-12-20 10:27:57,2022-12-20 14:04:57
66,66,39364.38,7085.59,TROY,Pending,2022-04-23 19:22:52,2022-04-24 09:19:52
67,67,14968.39,2694.31,TROY,Failed,2023-07-26 03:37:09,2023-07-26 09:21:09
68,68,46487.03,8367.67,VISA,Failed,2023-08-20 05:37:13,2023-08-21 03:21:13
69,69,46073.94,8293.31,MASTERCARD,Success,2022-12-25 09:57:33,2022-12-26 01:51:33
70,70,29213.87,5258.5,VISA,Failed,2022-03-06 05:08:52,2022-03-07 01:05:52
71,71,27919.49,5025.51,VISA,Pending,2022-01-30 03:16:41,2022-01-30 19:56:41
72,72,38007.93,6841.43,MASTERCARD,Success,2023-12-27 02:06:37,2023-12-27 12:41:37
73,73,10712.06,1928.17,MASTERCARD,Failed,2022-10-20 09:54:47,2022-10-21 07:08:47
74,74,39882.6,7178.87,MASTERCARD,Pending,2022-07-11 12:18:14,2022-07-12 10:35:14
75,75,46529.16,8375.25,MASTERCARD,Pending,2023-05-15 05:42:52,2023-05-16 04:48:52
76,76,49287.7,8871.79,MASTERCARD,Success,2023-04-26 14:40:51,2023-04-27 05:24:51
77,77,34303.47,6174.62,VISA,Success,2023-09-20 23:10:28,2023-09-21 00:08:28
78,78,7605.31,1368.96,VISA,Success,2023-02-26 23:51:07,2023-02-27 04:11:07
79,79,7741.37,1393.45,MASTERCARD,Failed,2022-04-01 16:06:31,2022-04-02 05:20:31
80,80,1973.18,355.17,VISA,Failed,2022-09-28 12:38:56,2022-09-29 03:25:56
81,81,29391.45,5290.46,MASTERCARD,Pending,2022-04-25 06:23:46,2022-04-25 22:00:46
82,82,47604.31,8568.78,MASTERCARD,Success,2023-03-14 14:11:11,2023-03-15 12:48:11
83,83,32830.29,5909.45,VISA,Success,2023-11-14 09:27:35,2023-11-15 06:29:35
84,84,6730.73,1211.53,VISA,Pending,2022-12-26 20:44:00,2022-12-27 12:02:00
85,85,30745.65,5534.22,TROY,Pending,2023-04-21 20:48:16,2023-04-22 03:56:16
86,86,27627.39,4972.93,TROY,Failed,2023-03-24 06:24:57,2023-03-25 02:01:57
87,87,22531.1,4055.6,VISA,Failed,2023-08-26 03:08:52,2023-08-26 22:00:52
88,88,500.51,90.09,VISA,Pending,2023-06-28 14:29:05,2023-06-28 18:12:05
89,89,39289.24,7072.06,VISA,Pending,2022-09-24 16:33:35,2022-09-24 19:07:35
90,90,5245.03,944.11,MASTERCARD,Success,2022-05-01 19:55:54,2022-05-02 10:19:54
91,91,49129.08,8843.23,TROY,Failed,2023-05-17 03:33:13,2023-05-17 21:22:13
92,92,9477.38,1705.93,VISA,Pending,2022-12-01 17:05:13,2022-12-02 10:23:13
93,93,2364.48,425.61,VISA,Pending,2023-10-07 17:11:34,2023-10-07 22:48:34
94,94,8248.98,1484.82,TROY,Success,2023-02-05 07:49:09,2023-02-05 22:39:09
95,95,48425.02,8716.5,TROY,Pending,2023-11-29 19:14:57,2023-11-30 05:34:57
96,96,845.96,152.27,MASTERCARD,Success,2022-11-26 17:06:32,2022-11-27 15:08:32
97,97,42176.41,7591.75,MASTERCARD,Failed,2023-10-27 19:48:03,2023-10-28 03:18:03
98,98,26122.18,4701.99,TROY,Failed,2023-09-15 13:05:01,2023-09-15 13:36:01
99,99,45462.53,8183.26,VISA,Failed,2023-11-21 15:59:27,2023-11-22 01:58:27
100,100,21511.26,3872.03,TROY,Failed,2023-04-23 21:48:27,2023-04-24 20:30:27
101,101,11567.7,2082.19,VISA,Pending,2022-08-21 16:33:30,2022-08-21 23:56:30
102,102,12469.13,2244.44,MASTERCARD,Success,2023-03-02 14:34:14,2023-03-02 15:21:14
103,103,35564.13,6401.54,VISA,Failed,2022-01-29 08:08:51,2022-01-29 09:54:51
104,104,36844.9,6632.08,MASTERCARD,Failed,2023-12-10 01:06:24,2023-12-10 18:34:24
105,105,43116.21,7760.92,VISA,Pending,2022-03-12 08:52:52,2022-03-12 10:38:52
106,106,46225.69,8320.62,VISA,Success,2023-09-09 16:13:58,2023-09-10 07:36:58
107,107,11333.61,2040.05,VISA,Success,2023-08-16 00:06:40,2023-08-16 23:13:40
108,108,1157.14,208.29,VISA,Pending,2023-08-29 11:33:30,2023-08-30 02:16:30
109,109,10328.97,1859.21,VISA,Pending,2022-10-16 23:42:46,2022-10-17 13:27:46
110,110,20489.37,3688.09,TROY,Pending,2022-02-20 21:49:42,2022-02-21 07:51:42
111,111,19567.79,3522.2,MASTERCARD,Success,2022-08-30 23:11:27,2022-08-31 20:58:27
112,112,46630.97,8393.57,MASTERCARD,Failed,2023-01-13 11:18:44,2023-01-13 15:36:44
113,113,31047.34,5588.52,MASTERCARD,Failed,2022-01-04 08:14:58,2022-01-04 19:57:58
114,114,10431.74,1877.71,VISA,Pending,2022-10-06 11:28:10,2022-10-07 09:42:10
115,115,18773.58,3379.24,VISA,Success,2022-08-10 09:40:31,2022-08-10 19:19:31
116,116,12522.75,2254.09,TROY,Pending,2023-10-10 10:22:02,2023-10-10 18:36:02
117,117,8635.13,1554.32,VISA,Pending,2022-01-28 11:04:40,2022-01-28 22:06:40
118,118,25936.03,4668.49,MASTERCARD,Failed,2022-12-30 07:25:57,2022-12-31 03:56:57
119,119,35899.96,6461.99,VISA,Failed,2022-08-20 18:02:00,2022-08-21 10:13:00
120,120,36728.27,6611.09,MASTERCARD,Pending,2022-08-24 00:53:04,2022-08-24 04:22:04
121,121,12967.22,2334.1,TROY,Failed,2022-06-14 06:38:03,2022-06-14 23:35:03
122,122,27165.82,4889.85,VISA,Failed,2022-12-17 04:29:33,2022-12-17 20:54:33
123,123,20833.12,3749.96,VISA,Success,2022-08-12 14:30:51,2022-08-13 13:13:51
124,124,25823.19,4648.17,MASTERCARD,Failed,2022-04-02 19:08:29,2022-04-03 12:40:29
125,125,19032.07,3425.77,TROY,Success,2022-07-08 13:41:21,2022-07-09 01:13:21
126,126,5193.15,934.77,MASTERCARD,Success,2022-04-26 04:32:38,2022-04-26 22:33:38
127,127,40390.17,7270.23,MASTERCARD,Success,2022-12-18 02:08:43,2022-12-18 22:42:43
128,128,24313.95,4376.51,TROY,Success,2022-09-15 21:17:11,2022-09-16 12:47:11
129,129,27565.76,4961.84,TROY,Failed,2022-08-31 12:23:02,2022-08-31 23:44:02
130,130,36159.66,6508.74,MASTERCARD,Pending,2022-08-18 14:04:24,2022-08-19 10:48:24
131,131,14720.48,2649.69,MASTERCARD,Pending,2023-03-25 07:21:39,2023-03-25 07:25:39
132,132,33186.79,5973.62,VISA,Failed,2023-04-08 09:57:56,2023-04-08 11:42:56
133,133,42614.53,7670.62,MASTERCARD,Failed,2023-06-09 10:49:05,2023-06-09 21:05:05
134,134,45818.52,8247.33,MASTERCARD,Failed,2023-07-13 16:44:42,2023-07-14 10:03:42
135,135,17331.25,3119.62,VISA,Failed,2022-09-19 05:36:09,2022-09-20 04:43:09
136,136,41142.27,7405.61,MASTERCARD,Success,2023-11-28 12:36:00,2023-11-29 00:21:00
137,137,1414.02,254.52,VISA,Failed,2023-07-05 20:44:11,2023-07-06 00:37:11
138,138,2064.09,371.54,MASTERCARD,Pending,2023-02-20 07:18:06,2023-02-21 04:10:06
139,139,12534.23,2256.16,MASTERCARD,Pending,2023-01-22 21:52:32,2023-01-23 06:17:32
140,140,19000.29,3420.05,TROY,Pending,2022-10-12 07:30:09,2022-10-13 06:01:09
141,141,28409.72,5113.75,VISA,Failed,2022-09-06 18:15:40,2022-09-07 04:45:40
142,142,20579.81,3704.37,MASTERCARD,Failed,2022-07-07 16:35:55,2022-07-08 08:16:55
143,143,27412.23,4934.2,VISA,Failed,2023-04-25 06:59:33,2023-04-26 00:24:33
144,144,3541.55,637.48,MASTERCARD,Success,2022-12-24 00:25:14,2022-12-24 07:37:14
145,145,32254.89,5805.88,VISA,Failed,2022-06-25 15:10:15,2022-06-26 11:47:15
146,146,22797.92,4103.63,MASTERCARD,Failed,2023-07-27 14:26:17,2023-07-27 16:43:17
147,147,12293.82,2212.89,TROY,Success,2022-06-26 11:30:03,2022-06-27 10:33:03
148,148,44752.44,8055.44,TROY,Pending,2023-01-31 22:54:38,2023-02-01 19:03:38
149,149,23393.68,4210.86,MASTERCARD,Success,2023-02-08 01:58:05,2023-02-08 18:51:05
150,150,22806.35,4105.14,VISA,Pending,2022-01-28 23:38:12,2022-01-29 15:42:12
151,151,40660.17,7318.83,VISA,Success,2023-11-05 14:45:26,2023-11-06 02:10:26
152,152,24462.42,4403.24,VISA,Pending,2023-11-12 07:12:38,2023-11-12 17:19:38
153,153,507.86,91.41,VISA,Pending,2023-02-24 12:42:26,2023-02-25 05:10:26
154,154,32278.52,5810.13,TROY,Success,2023-04-21 17:10:15,2023-04-22 05:03:15
155,155,44413.79,7994.48,VISA,Failed,2023-07-19 21:01:35,2023-07-20 10:22:35
156,156,377.08,67.87,MASTERCARD,Success,2023-01-26 14:53:34,2023-01-26 20:02:34
157,157,21040.0,3787.2,MASTERCARD,Failed,2022-06-05 10:51:54,2022-06-05 19:37:54
158,158,33076.67,5953.8,TROY,Pending,2022-08-21 09:22:52,2022-08-21 12:20:52
159,159,15036.57,2706.58,MASTERCARD,Pending,2022-10-16 02:06:35,2022-10-16 04:54:35
160,160,6582.73,1184.89,VISA,Pending,2022-10-07 15:34:01,2022-10-08 10:01:01
161,161,20358.59,3664.55,VISA,Failed,2023-06-24 22:44:35,2023-06-25 15:24:35
162,162,10614.81,1910.67,VISA,Success,2022-07-28 20:14:39,2022-07-29 13:38:39
163,163,36429.39,6557.29,TROY,Pending,2022-03-04 19:00:46,2022-03-04 21:57:46
164,164,15169.06,2730.43,TROY,Success,2022-05-29 23:20:55,2022-05-30 20:35:55
165,165,43683.86,7863.09,TROY,Success,2023-12-06 02:01:50,2023-12-06 12:09:50
166,166,41552.96,7479.53,TROY,Pending,2022-06-07 18:27:09,2022-06-08 06:42:09
167,167,42615.28,7670.75,VISA,Failed,2023-06-06 08:08:29,2023-06-06 11:56:29
168,168,30144.28,5425.97,TROY,Success,2023-06-06 11:44:56,2023-06-07 10:15:56
169,169,42051.86,7569.33,TROY,Success,2022-11-25 11:17:31,2022-11-25 15:56:31
170,170,18752.44,3375.44,TROY,Success,2022-06-08 21:45:48,2022-06-09 18:16:48
171,171,5096.48,917.37,MASTERCARD,Failed,2023-01-09 00:08:23,2023-01-09 12:44:23
172,172,3378.02,608.04,TROY,Success,2023-06-11 15:28:46,2023-06-12 07:20:46
173,173,16793.05,3022.75,TROY,Failed,2022-11-03 13:26:24,2022-11-03 13:30:24
174,174,363.27,65.39,TROY,Pending,2022-01-31 17:17:08,2022-02-01 08:57:08
175,175,7417.44,1335.14,MASTERCARD,Failed,2022-08-20 00:02:39,2022-08-20 01:30:39
176,176,6201.46,1116.26,TROY,Failed,2023-05-07 09:37:47,2023-05-07 12:30:47
177,177,31073.83,5593.29,VISA,Pending,2023-08-12 11:18:35,2023-08-12 13:52:35
178,178,37268.88,6708.4,TROY,Failed,2023-09-07 04:19:22,2023-09-07 05:58:22
179,179,22323.33,4018.2,TROY,Failed,2022-06-13 10:42:10,2022-06-13 20:21:10
180,180,43003.36,7740.6,VISA,Pending,2022-06-23 08:39:32,2022-06-24 08:01:32
181,181,6777.67,1219.98,MASTERCARD,Pending,2022-07-26 20:33:21,2022-07-27 15:33:21
182,182,22781.47,4100.66,VISA,Failed,2023-09-06 10:29:55,2023-09-06 13:11:55
183,183,8215.22,1478.74,TROY,Failed,2022-03-22 01:27:18,2022-03-22 20:26:18
184,184,22461.59,4043.09,VISA,Failed,2023-03-08 00:44:20,2023-03-08 08:53:20
185,185,21336.89,3840.64,TROY,Success,2023-09-07 20:01:22,2023-09-08 04:36:22
186,186,28405.4,5112.97,VISA,Pending,2023-08-11 15:39:08,2023-08-12 07:29:08
187,187,23723.57,4270.24,VISA,Failed,2022-04-24 22:36:20,2022-04-25 22:25:20
188,188,36721.88,6609.94,VISA,Pending,2023-11-08 11:33:23,2023-11-09 00:57:23
189,189,48352.3,8703.41,MASTERCARD,Failed,2022-09-22 14:37:38,2022-09-23 04:47:38
190,190,16141.47,2905.46,MASTERCARD,Pending,2022-03-10 10:14:10,2022-03-10 21:49:10
191,191,11753.68,2115.66,TROY,Success,2023-07-14 14:43:20,2023-07-15 02:01:20
192,192,6126.17,1102.71,TROY,Failed,2022-12-08 17:43:56,2022-12-09 12:18:56
193,193,24965.27,4493.75,MASTERCARD,Failed,2022-05-14 03:48:00,2022-05-14 09:04:00
194,194,26765.97,4817.87,MASTERCARD,Failed,2023-02-04 16:13:29,2023-02-04 19:59:29
195,195,7640.96,1375.37,TROY,Pending,2022-08-22 09:19:26,2022-08-22 20:57:26
196,196,14137.76,2544.8,VISA,Success,2023-08-05 03:17:19,2023-08-05 14:19:19
197,197,31705.92,5707.07,MASTERCARD,Pending,2022-05-12 09:47:40,2022-05-12 11:25:40
198,198,35204.0,6336.72,VISA,Pending,2023-12-11 05:17:15,2023-12-11 07:45:15
199,199,30519.26,5493.47,MASTERCARD,Pending,2022-08-12 11:38:59,2022-08-12 20:37:59
200,200,8683.08,1562.95,MASTERCARD,Failed,2022-07-18 07:52:45,2022-07-19 03:18:45
201,201,12333.94,2220.11,VISA,Failed,2023-05-02 18:15:32,2023-05-03 12:51:32
202,202,16902.01,3042.36,TROY,Failed,2023-02-19 02:09:04,2023-02-20 01:42:04
203,203,26493.79,4768.88,TROY,Failed,2023-07-20 01:54:29,2023-07-20 09:03:29
204,204,7183.07,1292.95,MASTERCARD,Success,2023-11-29 08:27:09,2023-11-29 23:56:09
205,205,37719.87,6789.58,TROY,Pending,2023-07-21 19:15:08,2023-07-22 07:07:08
206,206,12613.46,2270.42,MASTERCARD,Pending,2023-09-27 08:42:03,2023-09-28 04:05:03
207,207,16567.19,2982.09,MASTERCARD,Failed,2022-11-24 18:55:06,2022-11-25 04:32:06
208,208,45636.56,8214.58,VISA,Success,2023-09-10 06:33:51,2023-09-10 18:44:51
209,209,47191.58,8494.48,VISA,Success,2022-03-28 23:28:21,2022-03-29 08:52:21
210,210,49192.53,8854.66,TROY,Pending,2022-07-22 03:34:16,2022-07-22 18:55:16
211,211,10464.16,1883.55,MASTERCARD,Failed,2022-10-30 21:47:11,2022-10-31 11:29:11
212,212,35702.03,6426.37,MASTERCARD,Pending,2022-02-03 11:00:14,2022-02-03 18:02:14
213,213,40128.28,7223.09,MASTERCARD,Success,2022-03-08 02:50:14,2022-03-08 21:43:14
214,214,1705.37,306.97,VISA,Failed,2022-05-19 00:06:37,2022-05-19 00:12:37
215,215,30483.81,5487.09,VISA,Pending,2023-09-05 15:04:20,2023-09-06 08:20:20
216,216,35281.48,6350.67,TROY,Failed,2023-09-21 07:18:08,2023-09-22 04:33:08
217,217,2971.25,534.82,VISA,Failed,2023-11-26 19:40:21,2023-11-27 15:45:21
218,218,8229.81,1481.37,VISA,Success,2022-12-31 04:05:09,2022-12-31 17:54:09
219,219,23459.05,4222.63,MASTERCARD,Pending,2023-03-17 18:44:22,2023-03-17 20:19:22
220,220,42316.22,7616.92,VISA,Success,2023-06-04 22:18:44,2023-06-05 21:36:44
221,221,29816.0,5366.88,TROY,Failed,2022-06-11 10:30:21,2022-06-11 13:20:21
222,222,16078.22,2894.08,VISA,Success,2023-12-24 00:56:21,2023-12-24 18:14:21
223,223,13164.04,2369.53,MASTERCARD,Failed,2023-01-06 00:13:29,2023-01-06 15:43:29
224,224,11749.56,2114.92,VISA,Pending,2023-06-13 16:48:51,2023-06-13 20:55:51
225,225,25837.92,4650.83,TROY,Success,2022-04-26 03:06:54,2022-04-27 02:46:54
226,226,42773.21,7699.18,MASTERCARD,Success,2022-12-06 10:15:55,2022-12-06 13:24:55
227,227,45597.78,8207.6,VISA,Failed,2022-10-27 05:23:00,2022-10-27 08:14:00
228,228,42202.37,7596.43,TROY,Success,2023-03-13 08:56:07,2023-03-14 06:50:07
229,229,47889.43,8620.1,MASTERCARD,Success,2023-11-18 04:14:34,2023-11-18 21:19:34
230,230,25447.6,4580.57,MASTERCARD,Failed,2022-02-14 22:58:57,2022-02-15 15:46:57
231,231,30086.44,5415.56,VISA,Pending,2022-06-09 11:33:01,2022-06-09 11:40:01
232,232,41020.29,7383.65,TROY,Failed,2022-12-21 15:48:31,2022-12-21 16:03:31
233,233,19135.3,3444.35,TROY,Failed,2022-12-11 19:52:11,2022-12-11 19:56:11
234,234,49381.91,8888.74,TROY,Pending,2023-09-13 08:49:32,2023-09-13 16:47:32
235,235,18551.87,3339.34,TROY,Success,2023-07-21 22:31:03,2023-07-22 09:43:03
236,236,8356.51,1504.17,VISA,Pending,2023-12-18 10:57:46,2023-12-18 12:34:46
237,237,21887.8,3939.8,VISA,Success,2023-07-15 01:46:20,2023-07-15 20:30:20
238,238,21784.48,3921.21,MASTERCARD,Success,2022-09-02 05:20:48,2022-09-02 16:43:48
239,239,23456.64,4222.2,VISA,Success,2023-06-30 12:25:28,2023-07-01 00:58:28
240,240,5694.04,1024.93,VISA,Pending,2023-10-06 22:09:33,2023-10-07 10:10:33
241,241,22867.82,4116.21,MASTERCARD,Pending,2023-02-17 13:30:40,2023-02-17 17:10:40
242,242,15297.32,2753.52,VISA,Failed,2022-09-08 14:20:19,2022-09-09 02:52:19
243,243,16349.6,2942.93,MASTERCARD,Failed,2022-09-11 00:26:06,2022-09-11 09:50:06
244,244,45620.05,8211.61,TROY,Failed,2022-05-07 18:49:22,2022-05-08 12:58:22
245,245,25166.37,4529.95,VISA,Success,2022-04-14 15:38:22,2022-04-15 03:39:22
246,246,3732.54,671.86,VISA,Failed,2022-12-18 09:43:57,2022-12-19 02:21:57
247,247,39761.97,7157.15,MASTERCARD,Success,2023-12-29 10:59:57,2023-12-30 01:19:57
248,248,44924.55,8086.42,TROY,Success,2023-09-06 22:50:08,2023-09-07 21:41:08
249,249,20840.84,3751.35,MASTERCARD,Failed,2022-11-17 07:37:44,2022-11-18 00:41:44
250,250,33809.73,6085.75,MASTERCARD,Success,2022-11-07 12:53:43,2022-11-07 23:25:43
251,251,41390.97,7450.37,MASTERCARD,Success,2023-11-01 14:34:32,2023-11-01 20:55:32
252,252,36690.67,6604.32,TROY,Success,2023-01-05 06:31:25,2023-01-06 05:50:25
253,253,42266.14,7607.91,VISA,Pending,2022-01-20 03:50:36,2022-01-20 15:26:36
254,254,42373.22,7627.18,MASTERCARD,Success,2023-06-29 14:34:20,2023-06-30 07:39:20
255,255,14342.88,2581.72,MASTERCARD,Failed,2022-03-19 10:17:28,2022-03-19 22:41:28
256,256,4839.16,871.05,MASTERCARD,Pending,2023-01-20 02:34:54,2023-01-20 19:06:54
257,257,3403.54,612.64,MASTERCARD,Success,2023-09-05 16:18:59,2023-09-06 04:24:59
258,258,36167.03,6510.07,MASTERCARD,Failed,2023-05-14 02:19:42,2023-05-14 13:25:42
259,259,46991.42,8458.46,MASTERCARD,Success,2023-07-03 07:48:20,2023-07-03 19:54:20
260,260,30187.81,5433.81,VISA,Success,2022-01-09 10:19:01,2022-01-09 22:18:01
261,261,28349.21,5102.86,VISA,Pending,2022-02-23 19:15:54,2022-02-24 16:21:54
262,262,6997.01,1259.46,TROY,Pending,2022-02-04 01:15:36,2022-02-04 21:57:36
263,263,9400.28,1692.05,MASTERCARD,Success,2022-02-12 01:51:29,2022-02-13 00:03:29
264,264,36269.89,6528.58,VISA,Success,2023-10-12 09:55:43,2023-10-12 13:25:43
265,265,38395.41,6911.17,MASTERCARD,Success,2022-05-31 09:08:45,2022-06-01 03:47:45
266,266,5516.09,992.9,TROY,Failed,2022-05-20 18:29:06,2022-05-20 20:18:06
267,267,37720.49,6789.69,MASTERCARD,Pending,2022-11-15 00:26:28,2022-11-15 23:10:28
268,268,23702.14,4266.39,VISA,Pending,2022-01-21 16:44:27,2022-01-22 15:58:27
269,269,16268.77,2928.38,MASTERCARD,Success,2023-08-16 17:21:32,2023-08-16 17:55:32
270,270,47845.88,8612.26,MASTERCARD,Success,2022-10-10 06:54:24,2022-10-10 21:57:24
271,271,28078.72,5054.17,TROY,Pending,2022-03-29 01:39:53,2022-03-30 01:19:53
272,272,12708.79,2287.58,MASTERCARD,Success,2022-12-10 08:02:28,2022-12-10 15:38:28
273,273,2740.59,493.31,MASTERCARD,Failed,2022-01-14 04:38:36,2022-01-14 23:11:36
274,274,10406.33,1873.14,MASTERCARD,Pending,2022-01-24 06:27:57,2022-01-25 01:39:57
275,275,17511.58,3152.08,TROY,Success,2023-05-17 03:21:41,2023-05-17 03:34:41
276,276,48860.14,8794.83,MASTERCARD,Pending,2022-03-02 08:59:14,2022-03-03 05:34:14
277,277,33660.67,6058.92,VISA,Failed,2022-04-30 03:19:01,2022-04-30 14:09:01
278,278,45831.8,8249.72,TROY,Pending,2022-08-25 13:36:23,2022-08-25 16:11:23
279,279,42624.52,7672.41,TROY,Failed,2023-01-04 21:41:25,2023-01-05 02:52:25
280,280,33754.25,6075.76,TROY,Failed,2023-05-27 04:45:08,2023-05-28 01:10:08
281,281,6853.13,1233.56,VISA,Failed,2023-02-01 11:01:41,2023-02-01 13:35:41
282,282,4885.56,879.4,TROY,Success,2022-07-13 00:52:08,2022-07-13 21:48:08
283,283,43532.18,7835.79,TROY,Success,2022-08-16 10:34:35,2022-08-17 05:33:35
284,284,40821.71,7347.91,VISA,Success,2022-11-04 09:08:36,2022-11-04 21:18:36
